Annual mean temperature,Mean diurnal range,Isothermality,Temperature seasonality,Maximum temperature of warmest month,Minimun temperature of coldest month,Temperature Annual Range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality,Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,May precipitation,October precipitation,December maximum temperature,April precipitation
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,10
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,21
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,21
160,154,49,5589,311,1,310,218,86,228,86,348,74,7,79,202,23,176,23,14,19,310,21
184,138,44,5737,338,31,307,240,108,257,108,356,68,4,77,189,14,182,14,12,21,338,21
184,138,44,5737,338,31,307,240,108,257,108,356,68,4,77,189,14,182,14,12,21,338,21
120,174,50,6238,305,-38,343,188,38,199,38,133,17,7,22,43,26,35,26,9,14,289,21
128,177,50,6348,317,-33,350,199,46,210,46,158,22,7,31,57,25,48,25,10,17,301,21
123,168,47,6618,317,-34,351,197,45,209,37,200,28,9,39,78,29,65,32,9,22,294,24
71,150,49,5753,235,-70,305,7,133,143,-5,158,28,5,56,77,17,18,66,26,9,226,18
75,146,47,5824,240,-70,310,7,136,148,-2,113,16,6,32,43,18,20,36,16,8,220,18
86,139,46,5598,243,-53,296,19,120,156,12,106,14,5,30,39,19,22,32,14,7,223,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,18
105,150,47,6003,274,-40,314,101,170,182,27,117,14,6,22,36,22,27,29,13,10,256,19
110,154,47,6141,282,-39,321,107,177,188,30,121,14,7,20,37,23,27,30,13,10,265,18
145,165,48,6208,321,-19,340,213,71,224,64,139,29,3,76,76,9,74,9,3,8,307,18
146,171,48,6285,329,-24,353,225,65,225,65,173,30,3,60,82,17,82,17,7,16,308,18
144,162,47,6323,321,-19,340,212,62,225,62,102,21,2,68,53,8,51,8,3,6,312,18
144,162,47,6323,321,-19,340,212,62,225,62,102,21,2,68,53,8,51,8,3,6,312,19
84,167,51,5826,256,-68,324,150,119,159,9,154,18,10,21,49,30,43,43,11,10,246,19
82,167,51,5828,255,-70,325,148,117,157,7,153,18,10,21,49,30,43,42,11,10,244,19
77,165,50,5884,250,-76,326,3,111,154,3,174,21,10,23,57,31,42,57,14,11,239,30
